CDR Code,Date,Holiday / Event,Settlement Information,Trading Information,Comment
CA,10/8/2007,Thanksgiving,No Settlement,,
CA,11/4/2007,Daylight Saving Ends,No Settlement,,Weekend
CA,11/12/2007,Remembrance Day-exch Open,No Settlement,,
CA,12/25/2007,Christmas Day,No Settlement,,
CA,12/26/2007,Boxing Day,No Settlement,,
AU,1/1/2007,New Year's Day,No Settlement,,
AU,1/26/2007,Australia Day Holiday,No Settlement,,
AU,3/25/2007,Daylight Saving Ends,No Settlement,,Weekend
AU,4/6/2007,Good Friday,No Settlement,,
AU,4/9/2007,Easter Monday,No Settlement,,
AU,4/25/2007,Anzac Day,No Settlement,,
AU,6/11/2007,Queen's Birthday Holiday,No Settlement,,
AU,8/6/2007,Bank Holiday,No Settlement,,
AU,9/7/2007,Apec Summit,No Settlement,,
AU,10/1/2007,Labour Day,No Settlement,,
AU,10/28/2007,Daylight Saving Begins,No Settlement,,Weekend
AU,12/25/2007,Christmas Day,No Settlement,,
AU,12/26/2007,Boxing Day,No Settlement,,
TE,1/1/2006,New Year's Day,No Settlement,,Weekend
TE,3/26/2006,Daylight Saving Begins,No Settlement,,Weekend
TE,4/14/2006,Good Friday,No Settlement,,
TE,4/17/2006,Easter Monday,No Settlement,,
TE,5/1/2006,Labour Day,No Settlement,,
TE,10/29/2006,Daylight Saving Ends,No Settlement,,Weekend
TE,12/25/2006,Christmas Day,No Settlement,,
TE,12/26/2006,Christmas Holiday,No Settlement,,
FD,1/2/2006,New Years Day (obs),No Settlement,,
FD,1/16/2006,Martin L. King Day,No Settlement,,
FD,2/20/2006,Presidents' Day,No Settlement,,
FD,5/29/2006,Memorial Day,No Settlement,,
FD,7/4/2006,Independence Day,No Settlement,,
FD,9/4/2006,Labor Day,No Settlement,,
FD,10/9/2006,Columbus Day (exch Open),No Settlement,,
FD,11/23/2006,Thanksgiving,No Settlement,,
FD,12/25/2006,Christmas Day,No Settlement,,
JN,1/1/2006,New Year's Day,No Settlement,,Weekend
JN,1/2/2006,New Year's Holiday,No Settlement,,
JN,1/3/2006,New Year's Holiday,No Settlement,,
JN,1/9/2006,Coming-of-age Day,No Settlement,,
JN,2/11/2006,National Foundation Day,No Settlement,,Weekend
JN,3/21/2006,Vernal Equinox Day,No Settlement,,
JN,4/29/2006,Greenery Day,No Settlement,,Weekend
JN,5/3/2006,Constitution Memorial Day,No Settlement,,
JN,5/4/2006,National Holiday,No Settlement,,
JN,5/5/2006,Children's Day,No Settlement,,
JN,7/17/2006,Marine Day,No Settlement,,
JN,9/18/2006,Respect-for-the-aged Day,No Settlement,,
JN,9/23/2006,Autumnal Equinox Day,No Settlement,,Weekend
JN,10/9/2006,Health-sports Day,No Settlement,,
JN,11/3/2006,Culture Day,No Settlement,,
JN,11/23/2006,Labor Thanksgiving Day,No Settlement,,
JN,12/23/2006,Emperor's Birthday,No Settlement,,Weekend
SZ,1/2/2006,Last Working Day Of Year,No Settlement,,
SZ,4/14/2006,Good Friday,No Settlement,,
SZ,4/17/2006,Easter Monday,No Settlement,,
SZ,5/1/2006,Labour Day,No Settlement,,
SZ,5/25/2006,Ascension,No Settlement,,
SZ,6/5/2006,Whit Monday,No Settlement,,
SZ,8/1/2006,National Day,No Settlement,,
SZ,12/25/2006,Christmas Day,No Settlement,,
SZ,12/26/2006,Christmas Holiday,No Settlement,,
GB,1/2/2006,Bank Holiday,No Settlement,,
GB,3/26/2006,Daylight Saving Begins,No Settlement,,Weekend
GB,4/14/2006,Good Friday,No Settlement,,
GB,4/17/2006,Easter Monday,No Settlement,,
GB,5/1/2006,May Day,No Settlement,,
GB,5/29/2006,Spring Bank Holiday,No Settlement,,
GB,8/28/2006,Summer Bank Holiday,No Settlement,,
GB,10/29/2006,Daylight Saving Ends,No Settlement,,Weekend
GB,12/25/2006,Christmas Day,No Settlement,,
GB,12/26/2006,Boxing Day,No Settlement,,
CA,1/2/2006,New Years Day (obs),No Settlement,,
CA,4/2/2006,Daylight Saving Begins,No Settlement,,Weekend
CA,4/14/2006,Good Friday,No Settlement,,
CA,5/22/2006,Victoria Day,No Settlement,,
CA,7/3/2006,Canada Day,No Settlement,,
CA,8/7/2006,Civic Holiday,No Settlement,,
CA,9/4/2006,Labor Day,No Settlement,,
CA,10/9/2006,Thanksgiving,No Settlement,,
CA,10/29/2006,Daylight Saving Ends,No Settlement,,Weekend
CA,11/13/2006,Remembrance Day-exch Open,No Settlement,,
CA,12/25/2006,Christmas Day,No Settlement,,
CA,12/26/2006,Boxing Day,No Settlement,,
AU,1/1/2006,New Year's Day,No Settlement,,Weekend
AU,1/2/2006,New Years Day (obs),No Settlement,,
AU,1/26/2006,Australia Day Holiday,No Settlement,,
AU,4/14/2006,Good Friday,No Settlement,,
AU,4/17/2006,Easter Monday,No Settlement,,
AU,4/25/2006,Anzac Day,No Settlement,,
AU,6/12/2006,Queen's Birthday Holiday,No Settlement,,
AU,8/7/2006,Bank Holiday (nsw),No Settlement,,
AU,10/2/2006,Labour Day (nsw),No Settlement,,
AU,10/29/2006,Daylight Saving Begins,No Settlement,,Weekend
AU,12/25/2006,Christmas Day,No Settlement,,
AU,12/26/2006,Boxing Day,No Settlement,,
TE,1/1/2017,New Year's Day,No Settlement,,Weekend
TE,3/26/2017,Daylight Saving Begins,No Settlement,,Weekend
TE,4/14/2017,Good Friday,No Settlement,,
TE,4/17/2017,Easter Monday,No Settlement,,
TE,5/1/2017,Labour Day,No Settlement,,
TE,10/29/2017,Daylight Saving Ends,No Settlement,,Weekend
TE,12/25/2017,Christmas Day,No Settlement,,
TE,12/26/2017,Christmas Holiday,No Settlement,,
FD,1/2/2017,New Years Day (obs),No Settlement,,
FD,1/16/2017,Martin L. King Day,No Settlement,,
FD,2/20/2017,Presidents' Day,No Settlement,,
FD,5/29/2017,Memorial Day,No Settlement,,
FD,7/4/2017,Independence Day,No Settlement,,
FD,9/4/2017,Labor Day,No Settlement,,
FD,10/9/2017,Columbus Day (exch Open),No Settlement,,
FD,11/23/2017,Thanksgiving,No Settlement,,
FD,12/25/2017,Christmas Day,No Settlement,,
JN,1/1/2017,New Year's Day,No Settlement,,Weekend
JN,1/2/2017,New Year's Day (obs),No Settlement,,
JN,1/3/2017,Bank Holiday,No Settlement,,
JN,1/9/2017,Coming-of-age Day,No Settlement,,
JN,2/11/2017,National Foundation Day,No Settlement,,Weekend
JN,3/20/2017,Vernal Equinox Day,No Settlement,,
JN,4/29/2017,Showa Day,No Settlement,,Weekend
JN,5/3/2017,Constitution Memorial Day,No Settlement,,
JN,5/4/2017,Greenery Day,No Settlement,,
JN,5/5/2017,Children's Day,No Settlement,,
JN,7/17/2017,Marine Day,No Settlement,,
JN,8/11/2017,Mountain Day,No Settlement,,
JN,9/18/2017,Respect-for-the-aged Day,No Settlement,,
JN,9/23/2017,Autumnal Equinox Day,No Settlement,,Weekend
JN,10/9/2017,Health-sports Day,No Settlement,,
JN,11/3/2017,Culture Day,No Settlement,,
JN,11/23/2017,Labor Thanksgiving Day,No Settlement,,
JN,12/23/2017,Emperor's Birthday,No Settlement,,Weekend
JN,12/31/2017,Bank Holiday,No Settlement,,Weekend
SZ,1/1/2017,New Year's Day,No Settlement,,Weekend
SZ,1/2/2017,Berchtold's Day,No Settlement,,
SZ,4/14/2017,Good Friday,No Settlement,,
SZ,4/17/2017,Easter Monday,No Settlement,,
SZ,5/1/2017,Labor Day,No Settlement,,
SZ,5/25/2017,Ascension,No Settlement,,
SZ,6/5/2017,Whit Monday,No Settlement,,
SZ,8/1/2017,National Day,No Settlement,,
SZ,12/25/2017,Christmas Day,No Settlement,,
SZ,12/26/2017,St. Stephen's Day,No Settlement,,
GB,1/2/2017,New Years Day (obs),No Settlement,,
GB,3/26/2017,Daylight Saving Begins,No Settlement,,Weekend
GB,4/14/2017,Good Friday,No Settlement,,
GB,4/17/2017,Easter Monday,No Settlement,,
GB,5/1/2017,Early May Bank Holiday,No Settlement,,
GB,5/29/2017,Spring Bank Holiday,No Settlement,,
GB,8/28/2017,Summer Bank Holiday,No Settlement,,
GB,10/29/2017,Daylight Saving Ends,No Settlement,,Weekend
GB,12/25/2017,Christmas Day,No Settlement,,
GB,12/26/2017,Boxing Day,No Settlement,,
AU,1/2/2017,New Year's Day,No Settlement,,
AU,1/26/2017,Australia Day Holiday,No Settlement,,
AU,4/2/2017,Daylight Saving Ends,No Settlement,,Weekend
AU,4/14/2017,Good Friday,No Settlement,,
AU,4/17/2017,Easter Monday,No Settlement,,
AU,4/25/2017,Anzac Day,No Settlement,,
AU,6/12/2017,Queen's Birthday Holiday,No Settlement,,
AU,8/7/2017,Bank Holiday,No Settlement,,
AU,10/1/2017,Daylight Saving Begins,No Settlement,,Weekend
AU,10/2/2017,Labour Day,No Settlement,,
AU,12/25/2017,Christmas Day,No Settlement,,
AU,12/26/2017,Boxing Day,No Settlement,,
CA,1/2/2017,New Years Day (obs),No Settlement,,
CA,2/20/2017,Family Day,No Settlement,,
CA,4/14/2017,Good Friday,No Settlement,,
CA,5/22/2017,Victoria Day,No Settlement,,
CA,7/3/2017,Canada Day,No Settlement,,
CA,8/7/2017,Civic Holiday,No Settlement,,
CA,9/4/2017,Labor Day,No Settlement,,
CA,10/9/2017,Thanksgiving,No Settlement,,
CA,11/13/2017,Remembrance Day-exch Open,No Settlement,,
CA,12/25/2017,Christmas Day,No Settlement,,
CA,12/26/2017,Boxing Day (obs),No Settlement,,
TE,1/1/2016,New Year's Day,No Settlement,,
TE,3/25/2016,Good Friday,No Settlement,,
TE,3/27/2016,Daylight Saving Begins,No Settlement,,Weekend
TE,3/28/2016,Easter Monday,No Settlement,,
TE,5/1/2016,Labour Day,No Settlement,,Weekend
TE,10/30/2016,Daylight Saving Ends,No Settlement,,Weekend
TE,12/25/2016,Christmas Day,No Settlement,,Weekend
TE,12/26/2016,Christmas Holiday,No Settlement,,
FD,1/1/2016,New Year's Day,No Settlement,,
FD,1/18/2016,Martin L. King Day,No Settlement,,
FD,2/15/2016,Presidents' Day,No Settlement,,
FD,5/30/2016,Memorial Day,No Settlement,,
FD,7/4/2016,Independence Day,No Settlement,,
FD,9/5/2016,Labor Day,No Settlement,,
FD,10/10/2016,Columbus Day (exch Open),No Settlement,,
FD,11/11/2016,Veterans' Day (exch Open),No Settlement,,
FD,11/24/2016,Thanksgiving,No Settlement,,
FD,12/26/2016,Christmas Day (obs),No Settlement,,
JN,1/1/2016,New Year's Day,No Settlement,,
JN,1/2/2016,Bank Holiday,No Settlement,,Weekend
JN,1/3/2016,Bank Holiday,No Settlement,,Weekend
JN,1/11/2016,Coming-of-age Day,No Settlement,,
JN,2/11/2016,National Foundation Day,No Settlement,,
JN,3/20/2016,Vernal Equinox Day,No Settlement,,Weekend
JN,3/21/2016,Vernal Equinox Day (obs),No Settlement,,
JN,4/29/2016,Showa Day,No Settlement,,
JN,5/3/2016,Constitution Memorial Day,No Settlement,,
JN,5/4/2016,Greenery Day,No Settlement,,
JN,5/5/2016,Children's Day,No Settlement,,
JN,7/18/2016,Marine Day,No Settlement,,
JN,8/11/2016,Mountain Day,No Settlement,,
JN,9/19/2016,Respect-for-the-aged Day,No Settlement,,
JN,9/22/2016,Autumnal Equinox Day,No Settlement,,
JN,10/10/2016,Health-sports Day,No Settlement,,
JN,11/3/2016,Culture Day,No Settlement,,
JN,11/23/2016,Labor Thanksgiving Day,No Settlement,,
JN,12/23/2016,Emperor's Birthday,No Settlement,,
JN,12/31/2016,Bank Holiday,No Settlement,,Weekend
SZ,1/1/2016,New Year's Day,No Settlement,,
SZ,1/2/2016,Berchtold's Day,No Settlement,,Weekend
SZ,3/25/2016,Good Friday,No Settlement,,
SZ,3/28/2016,Easter Monday,No Settlement,,
SZ,5/1/2016,Labor Day,No Settlement,,Weekend
SZ,5/5/2016,Ascension,No Settlement,,
SZ,5/16/2016,Whit Monday,No Settlement,,
SZ,8/1/2016,National Day,No Settlement,,
SZ,12/25/2016,Christmas Day,No Settlement,,Weekend
SZ,12/26/2016,St. Stephen's Day,No Settlement,,
GB,1/1/2016,New Year's Day,No Settlement,,
GB,3/25/2016,Good Friday,No Settlement,,
GB,3/27/2016,Daylight Saving Begins,No Settlement,,Weekend
GB,3/28/2016,Easter Monday,No Settlement,,
GB,5/2/2016,Early May Bank Holiday,No Settlement,,
GB,5/30/2016,Spring Bank Holiday,No Settlement,,
GB,8/29/2016,Summer Bank Holiday,No Settlement,,
GB,10/30/2016,Daylight Saving Ends,No Settlement,,Weekend
GB,12/26/2016,Boxing Day,No Settlement,,
GB,12/27/2016,Christmas Day (obs),No Settlement,,
AU,1/1/2016,New Year's Day,No Settlement,,
AU,1/26/2016,Australia Day Holiday,No Settlement,,
AU,3/25/2016,Good Friday,No Settlement,,
AU,3/28/2016,Easter Monday,No Settlement,,
AU,4/3/2016,Daylight Saving Ends,No Settlement,,Weekend
AU,4/25/2016,Anzac Day,No Settlement,,
AU,6/13/2016,Queen's Birthday Holiday,No Settlement,,
AU,8/1/2016,Bank Holiday,No Settlement,,
AU,10/2/2016,Daylight Saving Begins,No Settlement,,Weekend
AU,10/3/2016,Labour Day,No Settlement,,
AU,12/26/2016,Boxing Day,No Settlement,,
AU,12/27/2016,Christmas Day,No Settlement,,
CA,1/1/2016,New Year's Day,No Settlement,,
CA,2/15/2016,Family Day,No Settlement,,
CA,3/25/2016,Good Friday,No Settlement,,
CA,5/23/2016,Victoria Day,No Settlement,,
CA,7/1/2016,Canada Day,No Settlement,,
CA,8/1/2016,Civic Holiday,No Settlement,,
CA,9/5/2016,Labor Day,No Settlement,,
CA,10/10/2016,Thanksgiving,No Settlement,,
CA,11/11/2016,Remembrance Day-exch Open,No Settlement,,
CA,12/26/2016,Christmas Day (obs),No Settlement,,
CA,12/27/2016,Boxing Day (obs),No Settlement,,
TE,1/1/2015,New Year's Day,No Settlement,,
TE,3/29/2015,Daylight Saving Begins,No Settlement,,Weekend
TE,4/3/2015,Good Friday,No Settlement,,
TE,4/6/2015,Easter Monday,No Settlement,,
TE,5/1/2015,Labour Day,No Settlement,,
TE,10/25/2015,Daylight Saving Ends,No Settlement,,Weekend
TE,12/25/2015,Christmas Day,No Settlement,,
TE,12/26/2015,Christmas Holiday,No Settlement,,Weekend
FD,1/1/2015,New Year's Day,No Settlement,,
FD,1/19/2015,Martin L. King Day,No Settlement,,
FD,2/16/2015,Presidents' Day,No Settlement,,
FD,5/25/2015,Memorial Day,No Settlement,,
FD,7/4/2015,Independence Day,No Settlement,,Weekend
FD,9/7/2015,Labor Day,No Settlement,,
FD,10/12/2015,Columbus Day (exch Open),No Settlement,,
FD,11/11/2015,Veterans' Day (exch Open),No Settlement,,
FD,11/26/2015,Thanksgiving,No Settlement,,
FD,12/25/2015,Christmas Day,No Settlement,,
JN,1/1/2015,New Year's Day,No Settlement,,
JN,1/2/2015,Bank Holiday,No Settlement,,
JN,1/3/2015,Bank Holiday,No Settlement,,Weekend
JN,1/12/2015,Coming-of-age Day,No Settlement,,
JN,2/11/2015,National Foundation Day,No Settlement,,
JN,3/21/2015,Vernal Equinox Day,No Settlement,,Weekend
JN,4/29/2015,Showa Day,No Settlement,,
JN,5/3/2015,Constitution Memorial Day,No Settlement,,Weekend
JN,5/4/2015,Greenery Day,No Settlement,,
JN,5/5/2015,Children's Day,No Settlement,,
JN,5/6/2015,National Holiday,No Settlement,,
JN,7/20/2015,Marine Day,No Settlement,,
JN,9/21/2015,Respect-for-the-aged Day,No Settlement,,
JN,9/22/2015,National Holiday,No Settlement,,
JN,9/23/2015,Autumnal Equinox Day,No Settlement,,
JN,10/12/2015,Health-sports Day,No Settlement,,
JN,11/3/2015,Culture Day,No Settlement,,
JN,11/23/2015,Labor Thanksgiving Day,No Settlement,,
JN,12/23/2015,Emperor's Birthday,No Settlement,,
JN,12/31/2015,Bank Holiday,No Settlement,,
SZ,1/1/2015,New Year's Day,No Settlement,,
SZ,1/2/2015,Berchtold's Day,No Settlement,,
SZ,4/3/2015,Good Friday,No Settlement,,
SZ,4/6/2015,Easter Monday,No Settlement,,
SZ,5/1/2015,Labor Day,No Settlement,,
SZ,5/14/2015,Ascension,No Settlement,,
SZ,5/25/2015,Whit Monday,No Settlement,,
SZ,8/1/2015,National Day,No Settlement,,Weekend
SZ,12/25/2015,Christmas Day,No Settlement,,
SZ,12/26/2015,St. Stephen's Day,No Settlement,,Weekend
GB,1/1/2015,Bank Holiday,No Settlement,,
GB,3/29/2015,Daylight Saving Begins,No Settlement,,Weekend
GB,4/3/2015,Good Friday,No Settlement,,
GB,4/6/2015,Easter Monday,No Settlement,,
GB,5/4/2015,May Day,No Settlement,,
GB,5/25/2015,Spring Bank Holiday,No Settlement,,
GB,8/31/2015,Summer Bank Holiday,No Settlement,,
GB,10/25/2015,Daylight Saving Ends,No Settlement,,Weekend
GB,12/25/2015,Christmas Day,No Settlement,,
GB,12/28/2015,Boxing Day (obs),No Settlement,,
AU,1/1/2015,New Year's Day,No Settlement,,
AU,1/26/2015,Australia Day Holiday,No Settlement,,
AU,4/3/2015,Good Friday,No Settlement,,
AU,4/5/2015,Daylight Saving Ends,No Settlement,,Weekend
AU,4/6/2015,Easter Monday,No Settlement,,
AU,4/25/2015,Anzac Day,No Settlement,,Weekend
AU,6/8/2015,Queen's Birthday Holiday,No Settlement,,
AU,8/3/2015,Bank Holiday,No Settlement,,
AU,10/4/2015,Daylight Saving Begins,No Settlement,,Weekend
AU,10/5/2015,Labour Day,No Settlement,,
AU,12/25/2015,Christmas Day,No Settlement,,
AU,12/28/2015,Boxing Day,No Settlement,,
CA,1/1/2015,New Year's Day,No Settlement,,
CA,2/16/2015,Family Day,No Settlement,,
CA,4/3/2015,Good Friday,No Settlement,,
CA,5/18/2015,Victoria Day,No Settlement,,
CA,7/1/2015,Canada Day,No Settlement,,
CA,8/3/2015,Civic Holiday,No Settlement,,
CA,9/7/2015,Labor Day,No Settlement,,
CA,10/12/2015,Thanksgiving,No Settlement,,
CA,11/11/2015,Remembrance Day-exch Open,No Settlement,,
CA,12/25/2015,Christmas Day,No Settlement,,
CA,12/28/2015,Boxing Day (obs),No Settlement,,
TE,1/1/2020,New Year's Day,No Settlement,,
TE,3/28/2020,Daylight Saving Begins,No Settlement,,Weekend
TE,4/10/2020,Good Friday,No Settlement,,
TE,4/13/2020,Easter Monday,No Settlement,,
TE,5/1/2020,Labour Day,No Settlement,,
TE,10/31/2020,Daylight Saving Ends,No Settlement,,Weekend
TE,12/25/2020,Christmas Day,No Settlement,,
TE,12/26/2020,Christmas Holiday,No Settlement,,Weekend
FD,1/1/2020,New Year's Day,No Settlement,,
FD,1/20/2020,Martin L. King Day,No Settlement,,
FD,2/17/2020,Presidents' Day,No Settlement,,
FD,5/25/2020,Memorial Day,No Settlement,,
FD,7/4/2020,Independence Day,No Settlement,,Weekend
FD,9/7/2020,Labor Day,No Settlement,,
FD,10/12/2020,Columbus Day (exch Open),No Settlement,,
FD,11/11/2020,Veterans' Day (exch Open),No Settlement,,
FD,11/26/2020,Thanksgiving,No Settlement,,
FD,12/25/2020,Christmas Day,No Settlement,,
JN,1/1/2020,New Year's Day,No Settlement,,
JN,1/2/2020,New Year's Day,No Settlement,,
JN,1/3/2020,Bank Holiday,No Settlement,,
JN,1/13/2020,Coming-of-age Day,No Settlement,,
JN,2/11/2020,National Foundation Day,No Settlement,,
JN,2/23/2020,Emperor's Birthday,No Settlement,,Weekend
JN,2/24/2020,Emperor's Birthday (obs),No Settlement,,
JN,3/20/2020,Vernal Equinox Day,No Settlement,,
JN,4/29/2020,Showa Day,No Settlement,,
JN,5/3/2020,Constitution Memorial Day,No Settlement,,Weekend
JN,5/4/2020,Greenery Day,No Settlement,,
JN,5/5/2020,Children's Day,No Settlement,,
JN,5/6/2020,National Holiday,No Settlement,,
JN,7/23/2020,Marine Day,No Settlement,,
JN,7/24/2020,Health-sports Day,No Settlement,,
JN,8/10/2020,Mountain Day,No Settlement,,
JN,9/21/2020,Respect-for-the-aged Day,No Settlement,,
JN,9/22/2020,Autumnal Equinox Day,No Settlement,,
JN,11/3/2020,Culture Day,No Settlement,,
JN,11/23/2020,Labor Thanksgiving Day,No Settlement,,
JN,12/31/2020,Bank Holiday,No Settlement,,
SZ,1/1/2020,New Year's Day,No Settlement,,
SZ,1/2/2020,Berchtold's Day,No Settlement,,
SZ,4/10/2020,Good Friday,No Settlement,,
SZ,4/13/2020,Easter Monday,No Settlement,,
SZ,5/1/2020,Labor Day,No Settlement,,
SZ,5/21/2020,Ascension,No Settlement,,
SZ,6/1/2020,Whit Monday,No Settlement,,
SZ,12/25/2020,Christmas Day,No Settlement,,
GB,1/1/2020,Bank Holiday,No Settlement,,
GB,4/10/2020,Good Friday,No Settlement,,
GB,4/13/2020,Easter Monday,No Settlement,,
GB,5/8/2020,May Day,No Settlement,,
GB,5/25/2020,Spring Bank Holiday,No Settlement,,
GB,8/31/2020,Summer Bank Holiday,No Settlement,,
GB,12/25/2020,Christmas Day,No Settlement,,
GB,12/28/2020,Boxing Day (obs),No Settlement,,
AU,1/1/2020,New Year's Day,No Settlement,,
AU,1/27/2020,Australia Day Holiday,No Settlement,,
AU,4/10/2020,Good Friday,No Settlement,,
AU,4/13/2020,Easter Monday,No Settlement,,
AU,6/8/2020,Queen's Birthday Holiday,No Settlement,,
AU,8/3/2020,Bank Holiday,No Settlement,,
AU,10/5/2020,Labour Day,No Settlement,,
AU,12/25/2020,Christmas Day,No Settlement,,
AU,12/28/2020,Boxing Day,No Settlement,,
CA,1/1/2020,New Year's Day,No Settlement,,
CA,2/17/2020,Family Day,No Settlement,,
CA,4/10/2020,Good Friday,No Settlement,,
CA,5/18/2020,Victoria Day,No Settlement,,
CA,7/1/2020,Canada Day,No Settlement,,
CA,8/3/2020,Civic Holiday,No Settlement,,
CA,9/7/2020,Labor Day,No Settlement,,
CA,10/12/2020,Thanksgiving,No Settlement,,
CA,11/11/2020,Remembrance Day-exch Open,No Settlement,,
CA,12/25/2020,Christmas Day,No Settlement,,
CA,12/28/2020,Boxing Day (obs),No Settlement,,
